x1,x2,x3,x4,x5,x6,x7,x8,y1
0,4,2,2,0,0,0,2,68.2
0,4,1,0,0,0,2,3,55.8
4,4,3,0,2,2,1,3,53.38
4,3,3,0,2,1,4,8,61.98
7,3,0,0,0,0,3,7,53.42
3,3,4,0,3,0,3,6,71.2
4,1,3,2,3,0,3,5,76.59
4,0,0,1,0,1,3,2,59.77
2,1,4,0,2,0,3,7,54.86
4,0,1,1,2,1,1,5,57.61
2,0,3,0,0,2,1,3,55.92
5,1,1,0,2,0,0,3,56.61
2,1,1,0,2,2,0,4,50
2,1,1,0,0,0,1,3,47.47
1,1,0,0,0,1,0,0,61.01
0,2,1,1,0,0,1,2,50.43
1,5,0,0,1,0,0,0,57.16
0,3,1,0,0,0,1,1,50.86
0,5,0,0,1,0,0,0,46.9
0,4,2,0,1,0,2,1,70.45
1,4,2,0,2,1,1,0,77.87
1,4,1,0,5,0,4,4,69.36
4,5,0,0,4,1,3,2,83.71
4,6,1,2,1,0,2,5,79.61
2,2,1,1,2,0,4,7,79.58
7,0,1,1,3,0,2,7,84.38
6,2,2,1,1,0,4,4,86.9
5,1,1,1,6,0,5,3,90.77
2,0,1,2,3,1,3,8,86.45
8,1,1,2,2,0,5,4,92.67
3,2,0,3,1,1,5,5,91.16
3,0,0,0,3,1,2,8,93.61
5,1,0,1,0,1,0,5,94.5
3,2,1,0,2,1,5,1,91.66
4,4,0,0,1,1,0,8,95.54
6,4,0,1,4,0,3,4,95.32
5,4,2,0,2,1,3,8,94.54
7,1,1,0,4,2,2,6,93.8
4,1,3,0,3,3,4,6,95.55
5,1,1,2,0,2,3,8,91.95
4,2,2,0,1,1,3,3,94.09
3,1,2,0,1,1,4,3,95.45
3,1,1,1,4,0,4,3,94.53
2,5,1,0,1,1,2,8,93.27
6,3,1,0,1,0,2,4,97.94
5,2,0,3,3,0,1,5,98.95
4,3,0,1,3,0,3,6,97.8
6,3,0,1,1,1,2,4,98.14
5,3,3,2,5,0,2,9,98.55
5,8,1,1,2,0,2,2,98.4
4,3,2,1,2,0,4,8,97.1
7,2,0,1,2,0,2,6,95.69
7,4,2,1,2,0,3,7,92.29
4,7,2,1,2,1,7,6,96.14
6,3,1,2,0,0,3,5,94.34
4,3,0,2,0,2,4,3,98.5
4,6,2,1,3,2,3,6,98.1
6,8,2,2,0,2,3,4,89.37
4,5,0,2,1,0,1,4,92
1,2,1,1,0,1,0,2,90.17
0,1,0,1,0,0,1,2,86.99
2,2,1,0,0,3,2,1,92.25
3,1,2,1,2,1,3,8,95.77
3,5,0,0,2,0,3,6,82.26
8,2,1,1,3,0,6,8,87.89
11,5,1,1,1,0,2,14,93.93
10,3,1,1,4,0,1,11,90.41
10,0,0,1,4,0,1,11,92.13
8,0,0,1,2,0,0,12,87.42
11,1,1,1,4,1,0,8,82.44
12,0,0,2,6,0,0,11,85.35
3,0,1,1,5,2,0,9,88.03
8,0,2,3,2,1,0,6,81.02
6,4,2,1,3,1,0,4,81.73
3,3,2,0,6,2,1,9,82.82
5,2,1,0,2,1,2,8,87.92
6,2,5,0,4,1,0,3,91.58
2,0,4,0,3,3,2,6,90.46
4,0,2,2,2,2,1,3,84
1,0,1,2,3,3,1,5,85.25
4,0,0,0,1,2,2,1,79.84
0,2,0,0,0,1,2,2,72.12
0,0,2,1,2,1,0,1,69.88
0,0,1,1,3,1,1,3,74.16
3,3,3,2,5,0,1,0,41.15
3,1,2,0,0,1,0,4,50.28
