"","x1","x2","x3","x4","x5","x6","x7","x8","y1"
"1",24,27,25,4,35,10,17,32,12.4
"2",63,43,47,22,82,35,27,71,33.15
"3",80,26,72,29,88,24,27,74,60.45
"4",59,27,82,21,102,25,25,68,51.33
"5",60,34,65,18,117,29,27,49,36.15
"6",54,32,77,30,100,42,30,60,25.18
"7",66,41,76,27,94,23,19,69,19.94
"8",64,41,62,36,75,30,34,62,21.83
"9",57,36,74,33,79,36,32,55,22.32
"10",65,36,59,19,90,41,19,73,18.87
"11",65,55,64,18,80,23,28,58,19.75
"12",64,39,91,14,96,22,19,72,22.99
"13",76,38,76,22,92,20,21,81,20.05
"14",75,35,69,20,81,23,25,69,16.34
"15",69,49,53,21,103,23,33,74,30.34
"16",73,43,84,21,89,12,25,61,19.33
"17",64,40,92,19,99,19,16,63,14.42
"18",62,55,59,39,89,16,39,69,17.83
"19",65,40,82,24,87,21,35,57,15.86
"20",57,37,82,29,86,25,30,60,13.17
"21",71,36,85,20,101,25,27,64,13.26
"22",58,41,75,18,108,26,42,66,18.89
"23",68,28,74,19,107,25,20,60,18.74
"24",51,37,75,21,90,28,30,60,17.06
"25",64,35,90,21,100,19,26,67,12.64
"26",75,36,66,25,90,20,24,77,13.18
"27",69,39,80,19,69,28,19,71,14.81
"28",77,44,66,21,80,30,33,62,16.01
"29",64,30,57,16,102,29,28,80,14.05
"30",44,18,38,10,43,15,9,42,14.69
"31",11,23,11,12,30,20,14,24,8.3
"32",45,35,47,17,81,24,31,52,6.42
"33",78,23,57,18,90,33,21,75,11.73
"34",86,24,60,15,86,27,24,90,14.73
"35",66,49,63,13,96,30,34,63,14.69
"36",59,52,65,14,85,33,25,57,13.71
"37",70,38,75,17,93,28,24,71,13.01
"38",69,44,68,15,78,22,27,69,14.27
"39",67,44,63,15,93,21,29,63,12.53
"40",56,45,62,20,104,29,18,59,14.72
"41",54,28,68,16,96,47,21,56,13.98
"42",67,45,75,25,93,24,31,64,16.06
"43",63,32,76,22,93,27,23,65,20.95
"44",65,27,55,21,104,33,23,69,22.68
"45",66,36,74,25,94,20,12,62,19.69
"46",65,33,66,23,109,16,26,66,15.01
"47",62,38,60,20,94,23,29,64,13.39
"48",57,40,68,17,86,43,31,54,12.8
"49",63,39,79,14,87,31,36,56,13.46
"50",58,31,94,15,78,26,35,61,13.09
"51",66,39,94,12,67,30,29,72,13.76
"52",61,36,88,16,87,28,22,60,14.74
"53",65,47,83,18,81,19,22,68,13.84
"54",70,44,51,20,111,31,13,62,12.57
"55",70,62,51,21,91,25,18,72,13.61
"56",58,46,63,23,88,27,31,62,13.22
"57",68,46,69,16,84,31,19,67,12.52
"58",68,40,80,14,84,28,28,67,15.21
"59",61,36,96,17,102,18,26,64,13.45
"60",56,20,61,5,82,15,21,52,11.9
"61",3,10,11,0,13,4,4,7,9.12
"62",20,17,32,1,35,11,10,21,1.85
"63",32,17,48,8,43,10,8,33,4.91
"64",39,6,34,6,38,6,8,45,6.44
"65",42,15,40,3,40,9,8,43,5.76
"66",42,15,33,9,48,11,12,40,6.33
"67",42,26,37,7,39,4,17,46,6.5
"68",40,16,26,12,40,12,20,31,6.58
"69",32,16,33,17,54,11,12,36,6.1
"70",41,18,26,19,41,7,8,41,6.7
"71",40,18,17,15,47,18,11,40,7.72
"72",37,18,28,20,31,8,15,41,7.95
"73",39,13,24,11,45,11,15,38,6.59
"74",35,21,32,6,45,13,19,34,5.79
"75",38,20,20,7,53,14,16,40,6.47
"76",44,8,29,11,49,10,22,43,6.85
"77",43,21,25,12,51,6,14,42,7.06
"78",42,16,25,5,46,14,9,46,7.07
"79",41,14,33,8,37,13,22,38,7.12
"80",36,14,34,11,39,15,13,28,6.55
"81",26,13,30,14,38,24,17,34,6.24
"82",33,16,31,19,35,15,18,30,7.14
"83",36,20,20,12,39,14,20,34,6.3
"84",40,10,24,14,50,10,10,41,7.06
"85",39,15,27,12,35,7,11,38,6.68
"86",37,22,31,9,39,17,10,40,5.57
"87",33,26,34,8,40,17,13,32,6.94
"88",32,13,33,5,47,19,23,28,12.32
"89",30,12,40,8,46,19,15,33,7.79
"90",43,18,44,8,42,9,12,43,6.64
"91",4,7,4,2,9,3,4,8,6.72
"92",14,18,36,11,51,28,21,18,1.48
"93",35,22,60,21,69,24,19,45,7.3
"94",50,17,34,20,99,18,9,44,9.68
"95",49,14,62,22,96,20,4,57,9.77
"96",62,17,43,14,98,7,11,56,10.2
"97",45,17,57,13,76,20,12,44,9.56
"98",42,20,70,11,74,29,21,46,9.13
"99",43,25,63,10,78,28,12,36,10.51
"100",41,15,62,12,80,32,14,43,9.9
"101",50,18,49,11,68,33,17,58,10.1
"102",48,25,47,10,86,25,16,39,13.85
"103",43,28,52,8,76,32,13,49,11.91
"104",50,15,55,5,69,38,11,46,10.38
"105",49,17,48,11,77,30,11,47,10.22
"106",50,14,58,11,88,30,15,47,10.37
"107",42,22,66,9,77,26,14,45,10.06
"108",37,27,81,10,87,22,18,38,9.44
"109",46,25,54,15,90,16,15,44,18.99
"110",48,16,57,18,96,28,13,53,11.14
"111",49,19,45,12,94,19,24,46,10.35
"112",55,14,53,19,103,11,9,53,9.85
"113",36,23,52,14,87,20,15,37,9.41
"114",46,17,53,10,101,18,15,44,9.58
"115",35,15,85,17,80,21,12,39,8.7
"116",48,14,73,12,71,24,10,47,9.06
"117",46,31,63,12,68,25,11,43,9.6
"118",35,25,61,14,82,33,21,41,9.62
"119",40,34,72,21,79,30,14,38,10.59
"120",45,21,58,17,84,23,15,47,11.87
"121",14,14,14,4,20,6,7,11,10.36
"122",13,21,41,5,42,21,17,19,2.63
"123",39,39,76,10,85,32,24,42,5.93
"124",49,29,57,7,110,33,10,53,11.58
"125",61,23,50,11,121,29,20,66,11.26
"126",53,34,72,19,123,19,13,55,12.73
"127",50,13,71,30,108,16,17,50,11.72
"128",52,10,86,16,112,19,26,45,10.27
"129",45,16,82,10,110,19,11,46,10.18
"130",52,18,73,14,115,35,18,47,9.98
"131",37,23,70,17,117,52,13,38,11.72
"132",42,15,79,12,114,44,11,46,13.23
"133",49,19,62,17,124,34,18,46,13.36
"134",53,28,49,18,123,37,21,61,14.46
"135",55,28,66,21,122,26,13,49,12.89
"136",45,24,82,13,107,22,21,41,11.32
"137",55,22,69,13,88,24,21,57,10.51
"138",54,14,68,23,123,25,7,54,10.7
"139",46,15,81,16,131,26,11,47,11.45
"140",49,31,69,17,124,29,20,44,11.06
"141",50,15,60,32,125,31,20,51,11.59
"142",50,23,86,14,99,24,13,51,12.22
"143",43,24,74,16,113,32,18,44,11.27
"144",46,21,81,20,102,32,19,55,11.26
"145",52,18,84,19,100,32,25,47,12.14
"146",50,16,75,27,99,58,10,46,11.83
"147",53,24,59,13,92,55,18,55,13.36
"148",44,24,73,19,79,59,20,44,13.69
"149",57,29,77,11,90,39,11,53,13.09
"150",49,35,71,15,103,26,18,48,14.84
"151",24,9,30,6,66,10,10,29,11.84
"152",8,8,17,6,18,3,15,12,5.29
"153",18,23,29,13,49,12,14,23,2.51
"154",25,16,27,11,82,26,10,26,5.57
"155",35,12,20,13,91,22,6,32,7.55
"156",31,20,32,7,66,20,15,30,7.37
"157",29,10,32,9,71,10,21,31,7.1
"158",24,19,51,14,76,12,10,22,6.05
"159",24,10,52,11,77,17,14,24,6.57
"160",28,5,27,6,83,23,13,24,7.17
"161",27,11,38,5,64,24,11,34,7.09
"162",33,7,49,10,61,13,15,32,7.31
"163",34,18,45,7,49,15,12,34,6.78
"164",31,19,47,11,60,20,16,34,7.03
"165",25,29,48,12,42,20,5,25,8.89
"166",29,17,34,9,55,19,15,31,6.61
"167",33,16,49,9,58,9,13,32,7.22
"168",33,19,55,16,58,13,8,32,6
"169",29,18,43,10,84,9,12,24,7.12
"170",29,17,22,12,72,9,14,32,6.53
"171",36,19,22,9,75,6,17,37,6.2
"172",34,10,41,9,91,3,8,29,6.54
"173",28,17,27,7,77,10,10,31,5.82
"174",21,15,39,14,69,20,22,23,6.12
"175",20,16,55,18,51,26,6,18,7.02
"176",27,25,47,12,70,16,8,23,6.56
"177",21,22,47,12,69,22,12,22,6.63
