,V1,V2,V3
1,6000,POST_W_C,/tools.descartes.teastore.webui/category
2,4000,POST_W_C,/tools.descartes.teastore.webui/category
3,1000,POST_W_C,/tools.descartes.teastore.webui/category
4,0,POST_W_C,/tools.descartes.teastore.webui/category
5,0,POST_W_C,/tools.descartes.teastore.webui/category
6,1000,POST_W_C,/tools.descartes.teastore.webui/category
7,4000,POST_W_C,/tools.descartes.teastore.webui/category
8,1000,POST_W_C,/tools.descartes.teastore.webui/category
9,2000,POST_W_C,/tools.descartes.teastore.webui/category
10,2000,POST_W_C,/tools.descartes.teastore.webui/category
11,0,POST_W_C,/tools.descartes.teastore.webui/category
12,0,POST_W_C,/tools.descartes.teastore.webui/category
13,0,POST_W_C,/tools.descartes.teastore.webui/category
14,1000,POST_W_C,/tools.descartes.teastore.webui/category
15,1000,POST_W_C,/tools.descartes.teastore.webui/category
16,1000,POST_W_C,/tools.descartes.teastore.webui/category
17,0,POST_W_C,/tools.descartes.teastore.webui/category
18,1000,POST_W_C,/tools.descartes.teastore.webui/category
19,2000,POST_W_C,/tools.descartes.teastore.webui/category
20,0,POST_W_C,/tools.descartes.teastore.webui/category
21,2000,POST_W_C,/tools.descartes.teastore.webui/category
22,0,POST_W_C,/tools.descartes.teastore.webui/category
23,0,POST_W_C,/tools.descartes.teastore.webui/category
24,1000,POST_W_C,/tools.descartes.teastore.webui/category
25,3000,POST_W_C,/tools.descartes.teastore.webui/category
26,0,POST_W_C,/tools.descartes.teastore.webui/category
27,1000,POST_W_C,/tools.descartes.teastore.webui/category
28,0,POST_W_C,/tools.descartes.teastore.webui/category
29,2000,POST_W_C,/tools.descartes.teastore.webui/category
30,0,POST_W_C,/tools.descartes.teastore.webui/category
31,1000,POST_W_C,/tools.descartes.teastore.webui/category
32,1000,POST_W_C,/tools.descartes.teastore.webui/category
33,0,POST_W_C,/tools.descartes.teastore.webui/category
34,1000,POST_W_C,/tools.descartes.teastore.webui/category
35,2000,POST_W_C,/tools.descartes.teastore.webui/category
36,2000,POST_W_C,/tools.descartes.teastore.webui/category
37,1000,POST_W_C,/tools.descartes.teastore.webui/category
38,1000,POST_W_C,/tools.descartes.teastore.webui/category
39,1000,POST_W_C,/tools.descartes.teastore.webui/category
40,1000,POST_W_C,/tools.descartes.teastore.webui/category
41,2000,POST_W_C,/tools.descartes.teastore.webui/category
42,2000,POST_W_C,/tools.descartes.teastore.webui/category
43,1000,POST_W_C,/tools.descartes.teastore.webui/category
44,4000,POST_W_C,/tools.descartes.teastore.webui/category
45,2000,POST_W_C,/tools.descartes.teastore.webui/category
46,1000,POST_W_C,/tools.descartes.teastore.webui/category
47,0,POST_W_C,/tools.descartes.teastore.webui/category
48,0,POST_W_C,/tools.descartes.teastore.webui/category
49,0,POST_W_C,/tools.descartes.teastore.webui/category
50,4000,POST_W_C,/tools.descartes.teastore.webui/category
51,2000,POST_W_C,/tools.descartes.teastore.webui/category
52,0,POST_W_C,/tools.descartes.teastore.webui/category
53,2000,POST_W_C,/tools.descartes.teastore.webui/category
54,1000,POST_W_C,/tools.descartes.teastore.webui/category
55,1000,POST_W_C,/tools.descartes.teastore.webui/category
56,1000,POST_W_C,/tools.descartes.teastore.webui/category
57,2000,POST_W_C,/tools.descartes.teastore.webui/category
58,0,POST_W_C,/tools.descartes.teastore.webui/category
59,1000,POST_W_C,/tools.descartes.teastore.webui/category
60,0,POST_W_C,/tools.descartes.teastore.webui/category
61,0,POST_W_C,/tools.descartes.teastore.webui/category
62,1000,POST_W_C,/tools.descartes.teastore.webui/category
63,2000,POST_W_C,/tools.descartes.teastore.webui/category
64,3000,POST_W_C,/tools.descartes.teastore.webui/category
65,0,POST_W_C,/tools.descartes.teastore.webui/category
66,1000,POST_W_C,/tools.descartes.teastore.webui/category
67,2000,POST_W_C,/tools.descartes.teastore.webui/category
68,1000,POST_W_C,/tools.descartes.teastore.webui/category
69,0,POST_W_C,/tools.descartes.teastore.webui/category
70,0,POST_W_C,/tools.descartes.teastore.webui/category
71,2000,POST_W_C,/tools.descartes.teastore.webui/category
72,0,POST_W_C,/tools.descartes.teastore.webui/category
73,1000,POST_W_C,/tools.descartes.teastore.webui/category
74,2000,POST_W_C,/tools.descartes.teastore.webui/category
75,2000,POST_W_C,/tools.descartes.teastore.webui/category
76,1000,POST_W_C,/tools.descartes.teastore.webui/category
77,4000,POST_W_C,/tools.descartes.teastore.webui/category
78,0,POST_W_C,/tools.descartes.teastore.webui/category
79,1000,POST_W_C,/tools.descartes.teastore.webui/category
80,1000,POST_W_C,/tools.descartes.teastore.webui/category
81,3000,POST_W_C,/tools.descartes.teastore.webui/category
82,2000,POST_W_C,/tools.descartes.teastore.webui/category
83,0,POST_W_C,/tools.descartes.teastore.webui/category
84,2000,POST_W_C,/tools.descartes.teastore.webui/category
85,0,POST_W_C,/tools.descartes.teastore.webui/category
86,1000,POST_W_C,/tools.descartes.teastore.webui/category
87,0,POST_W_C,/tools.descartes.teastore.webui/category
88,0,POST_W_C,/tools.descartes.teastore.webui/category
89,0,POST_W_C,/tools.descartes.teastore.webui/category
90,1000,POST_W_C,/tools.descartes.teastore.webui/category
91,2000,POST_W_C,/tools.descartes.teastore.webui/category
92,0,POST_W_C,/tools.descartes.teastore.webui/category
93,1000,POST_W_C,/tools.descartes.teastore.webui/category
94,0,POST_W_C,/tools.descartes.teastore.webui/category
95,2000,POST_W_C,/tools.descartes.teastore.webui/category
96,3000,POST_W_C,/tools.descartes.teastore.webui/category
97,2000,POST_W_C,/tools.descartes.teastore.webui/category
98,2000,POST_W_C,/tools.descartes.teastore.webui/category
99,2000,POST_W_C,/tools.descartes.teastore.webui/category
100,0,POST_W_C,/tools.descartes.teastore.webui/category
101,2000,POST_W_C,/tools.descartes.teastore.webui/category
102,3000,POST_W_C,/tools.descartes.teastore.webui/category
103,5000,POST_W_C,/tools.descartes.teastore.webui/category
104,2000,POST_W_C,/tools.descartes.teastore.webui/category
105,2000,POST_W_C,/tools.descartes.teastore.webui/category
106,2000,POST_W_C,/tools.descartes.teastore.webui/category
107,1000,POST_W_C,/tools.descartes.teastore.webui/category
108,2000,POST_W_C,/tools.descartes.teastore.webui/category
109,2000,POST_W_C,/tools.descartes.teastore.webui/category
110,0,POST_W_C,/tools.descartes.teastore.webui/category
111,2000,POST_W_C,/tools.descartes.teastore.webui/category
112,0,POST_W_C,/tools.descartes.teastore.webui/category
113,1000,POST_W_C,/tools.descartes.teastore.webui/category
114,1000,POST_W_C,/tools.descartes.teastore.webui/category
115,1000,POST_W_C,/tools.descartes.teastore.webui/category
116,0,POST_W_C,/tools.descartes.teastore.webui/category
117,0,POST_W_C,/tools.descartes.teastore.webui/category
118,3000,POST_W_C,/tools.descartes.teastore.webui/category
119,5000,POST_W_C,/tools.descartes.teastore.webui/category
120,2000,POST_W_C,/tools.descartes.teastore.webui/category
121,0,POST_W_C,/tools.descartes.teastore.webui/category
122,4000,POST_W_C,/tools.descartes.teastore.webui/category
123,1000,POST_W_C,/tools.descartes.teastore.webui/category
124,1000,POST_W_C,/tools.descartes.teastore.webui/category
125,2000,POST_W_C,/tools.descartes.teastore.webui/category
126,1000,POST_W_C,/tools.descartes.teastore.webui/category
127,1000,POST_W_C,/tools.descartes.teastore.webui/category
128,1000,POST_W_C,/tools.descartes.teastore.webui/category
129,0,POST_W_C,/tools.descartes.teastore.webui/category
130,1000,POST_W_C,/tools.descartes.teastore.webui/category
131,0,POST_W_C,/tools.descartes.teastore.webui/category
132,2000,POST_W_C,/tools.descartes.teastore.webui/category
133,0,POST_W_C,/tools.descartes.teastore.webui/category
134,1000,POST_W_C,/tools.descartes.teastore.webui/category
135,0,POST_W_C,/tools.descartes.teastore.webui/category
136,0,POST_W_C,/tools.descartes.teastore.webui/category
137,1000,POST_W_C,/tools.descartes.teastore.webui/category
138,3000,POST_W_C,/tools.descartes.teastore.webui/category
139,1000,POST_W_C,/tools.descartes.teastore.webui/category
140,3000,POST_W_C,/tools.descartes.teastore.webui/category
141,1000,POST_W_C,/tools.descartes.teastore.webui/category
142,2000,POST_W_C,/tools.descartes.teastore.webui/category
143,0,POST_W_C,/tools.descartes.teastore.webui/category
144,0,POST_W_C,/tools.descartes.teastore.webui/category
145,1000,POST_W_C,/tools.descartes.teastore.webui/category
146,2000,POST_W_C,/tools.descartes.teastore.webui/category
147,0,POST_W_C,/tools.descartes.teastore.webui/category
148,0,POST_W_C,/tools.descartes.teastore.webui/category
149,1000,POST_W_C,/tools.descartes.teastore.webui/category
150,2000,POST_W_C,/tools.descartes.teastore.webui/category
151,1000,POST_W_C,/tools.descartes.teastore.webui/category
152,2000,POST_W_C,/tools.descartes.teastore.webui/category
153,1000,POST_W_C,/tools.descartes.teastore.webui/category
154,2000,POST_W_C,/tools.descartes.teastore.webui/category
155,0,POST_W_C,/tools.descartes.teastore.webui/category
156,2000,POST_W_C,/tools.descartes.teastore.webui/category
157,1000,POST_W_C,/tools.descartes.teastore.webui/category
158,1000,POST_W_C,/tools.descartes.teastore.webui/category
159,0,POST_W_C,/tools.descartes.teastore.webui/category
160,2000,POST_W_C,/tools.descartes.teastore.webui/category
161,1000,POST_W_C,/tools.descartes.teastore.webui/category
162,0,POST_W_C,/tools.descartes.teastore.webui/category
163,3000,POST_W_C,/tools.descartes.teastore.webui/category
164,0,POST_W_C,/tools.descartes.teastore.webui/category
165,0,POST_W_C,/tools.descartes.teastore.webui/category
166,1000,POST_W_C,/tools.descartes.teastore.webui/category
167,2000,POST_W_C,/tools.descartes.teastore.webui/category
168,1000,POST_W_C,/tools.descartes.teastore.webui/category
169,0,POST_W_C,/tools.descartes.teastore.webui/category
170,4000,POST_W_C,/tools.descartes.teastore.webui/category
171,0,POST_W_C,/tools.descartes.teastore.webui/category
172,0,POST_W_C,/tools.descartes.teastore.webui/category
173,2000,POST_W_C,/tools.descartes.teastore.webui/category
174,1000,POST_W_C,/tools.descartes.teastore.webui/category
175,0,POST_W_C,/tools.descartes.teastore.webui/category
176,1000,POST_W_C,/tools.descartes.teastore.webui/category
177,1000,POST_W_C,/tools.descartes.teastore.webui/category
178,0,POST_W_C,/tools.descartes.teastore.webui/category
179,0,POST_W_C,/tools.descartes.teastore.webui/category
180,0,POST_W_C,/tools.descartes.teastore.webui/category
181,1000,POST_W_C,/tools.descartes.teastore.webui/category
182,1000,POST_W_C,/tools.descartes.teastore.webui/category
183,1000,POST_W_C,/tools.descartes.teastore.webui/category
184,2000,POST_W_C,/tools.descartes.teastore.webui/category
185,0,POST_W_C,/tools.descartes.teastore.webui/category
186,1000,POST_W_C,/tools.descartes.teastore.webui/category
187,5000,POST_W_C,/tools.descartes.teastore.webui/category
188,0,POST_W_C,/tools.descartes.teastore.webui/category
189,4000,POST_W_C,/tools.descartes.teastore.webui/category
190,1000,POST_W_C,/tools.descartes.teastore.webui/category
191,0,POST_W_C,/tools.descartes.teastore.webui/category
192,0,POST_W_C,/tools.descartes.teastore.webui/category
193,2000,POST_W_C,/tools.descartes.teastore.webui/category
194,4000,POST_W_C,/tools.descartes.teastore.webui/category
195,0,POST_W_C,/tools.descartes.teastore.webui/category
196,3000,POST_W_C,/tools.descartes.teastore.webui/category
197,1000,POST_W_C,/tools.descartes.teastore.webui/category
198,1000,POST_W_C,/tools.descartes.teastore.webui/category
199,0,POST_W_C,/tools.descartes.teastore.webui/category
200,1000,POST_W_C,/tools.descartes.teastore.webui/category
201,3000,POST_W_C,/tools.descartes.teastore.webui/category
202,2000,POST_W_C,/tools.descartes.teastore.webui/category
203,2000,POST_W_C,/tools.descartes.teastore.webui/category
204,3000,POST_W_C,/tools.descartes.teastore.webui/category
205,1000,POST_W_C,/tools.descartes.teastore.webui/category
206,1000,POST_W_C,/tools.descartes.teastore.webui/category
207,0,POST_W_C,/tools.descartes.teastore.webui/category
208,0,POST_W_C,/tools.descartes.teastore.webui/category
209,1000,POST_W_C,/tools.descartes.teastore.webui/category
210,1000,POST_W_C,/tools.descartes.teastore.webui/category
211,0,POST_W_C,/tools.descartes.teastore.webui/category
212,1000,POST_W_C,/tools.descartes.teastore.webui/category
213,0,POST_W_C,/tools.descartes.teastore.webui/category
214,0,POST_W_C,/tools.descartes.teastore.webui/category
215,1000,POST_W_C,/tools.descartes.teastore.webui/category
216,0,POST_W_C,/tools.descartes.teastore.webui/category
217,0,POST_W_C,/tools.descartes.teastore.webui/category
218,2000,POST_W_C,/tools.descartes.teastore.webui/category
219,4000,POST_W_C,/tools.descartes.teastore.webui/category
220,3000,POST_W_C,/tools.descartes.teastore.webui/category
221,1000,POST_W_C,/tools.descartes.teastore.webui/category
222,2000,POST_W_C,/tools.descartes.teastore.webui/category
223,1000,POST_W_C,/tools.descartes.teastore.webui/category
224,2000,POST_W_C,/tools.descartes.teastore.webui/category
225,6000,POST_W_C,/tools.descartes.teastore.webui/category
226,0,POST_W_C,/tools.descartes.teastore.webui/category
227,1000,POST_W_C,/tools.descartes.teastore.webui/category
228,4000,POST_W_C,/tools.descartes.teastore.webui/category
229,1000,POST_W_C,/tools.descartes.teastore.webui/category
230,2000,POST_W_C,/tools.descartes.teastore.webui/category
231,16000,POST_W_C,/tools.descartes.teastore.webui/category
232,2000,POST_W_C,/tools.descartes.teastore.webui/category
233,0,POST_W_C,/tools.descartes.teastore.webui/category
234,0,POST_W_C,/tools.descartes.teastore.webui/category
235,1000,POST_W_C,/tools.descartes.teastore.webui/category
236,0,POST_W_C,/tools.descartes.teastore.webui/category
237,1000,POST_W_C,/tools.descartes.teastore.webui/category
238,1000,POST_W_C,/tools.descartes.teastore.webui/category
239,1000,POST_W_C,/tools.descartes.teastore.webui/category
240,1000,POST_W_C,/tools.descartes.teastore.webui/category
241,0,POST_W_C,/tools.descartes.teastore.webui/category
242,0,POST_W_C,/tools.descartes.teastore.webui/category
243,1000,POST_W_C,/tools.descartes.teastore.webui/category
244,2000,POST_W_C,/tools.descartes.teastore.webui/category
245,2000,POST_W_C,/tools.descartes.teastore.webui/category
246,0,POST_W_C,/tools.descartes.teastore.webui/category
247,0,POST_W_C,/tools.descartes.teastore.webui/category
248,1000,POST_W_C,/tools.descartes.teastore.webui/category
249,0,POST_W_C,/tools.descartes.teastore.webui/category
250,2000,POST_W_C,/tools.descartes.teastore.webui/category
251,0,POST_W_C,/tools.descartes.teastore.webui/category
252,2000,POST_W_C,/tools.descartes.teastore.webui/category
253,0,POST_W_C,/tools.descartes.teastore.webui/category
254,2000,POST_W_C,/tools.descartes.teastore.webui/category
255,2000,POST_W_C,/tools.descartes.teastore.webui/category
256,1000,POST_W_C,/tools.descartes.teastore.webui/category
257,0,POST_W_C,/tools.descartes.teastore.webui/category
258,3000,POST_W_C,/tools.descartes.teastore.webui/category
259,0,POST_W_C,/tools.descartes.teastore.webui/category
260,2000,POST_W_C,/tools.descartes.teastore.webui/category
