,V1,V2,V3
1,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
2,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
3,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
4,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
5,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
6,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
7,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
8,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
9,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
10,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
11,2000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
12,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
13,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
14,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
15,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
16,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
17,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
18,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
19,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
20,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
21,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
22,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
23,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
24,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
25,2000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
26,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
27,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
28,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
29,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
30,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
31,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
32,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
33,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
34,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
35,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
36,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
37,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
38,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
39,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
40,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
41,2000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
42,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
43,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
44,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
45,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
46,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
47,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
48,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
49,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
50,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
51,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
52,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
53,2000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
54,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
55,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
56,2000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
57,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
58,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
59,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
60,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
61,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
62,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
63,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
64,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
65,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
66,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
67,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
68,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
69,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
70,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
71,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
72,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
73,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
74,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
75,4000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
76,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
77,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
78,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
79,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
80,1000,POST_W_LA,/tools.descartes.teastore.webui/loginAction
81,0,POST_W_LA,/tools.descartes.teastore.webui/loginAction
